"source","scrapedFile","modelNumber","partNumber","diagramLocation","description","encompassPrice","availability","imageUrl"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","31-16282","1","Wiring Diagram (Front Si","CALL","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","31-16719","1","Pm Install Instructions","CALL","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","39-90406-1","1","Use & Care ( Hotpoint )","CALL","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WD02X10057","3214","Screw 10-16X1/2 Ab Hxw S","13.95","7 in stock","https://partstown.sirv.com/products/GE/GEWD02X10057/GEWD02X10057.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WD21X10261","803","Switch Interlock","34.95","90 in stock","https://partstown.sirv.com/products/GE/GEWD21X10261/1348125.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE00X181L","508","Shaft","0.02","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE01X20419","603","Handle White","32.95","102 in stock","https://partstown.sirv.com/products/GE/GEWE01X20419/1348033.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE01X20423","431","Strain Relief Bracket El","14.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE01X20423/GEWE01X20423.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE01X29357","236","Levelling Leg","26.95","13 in stock","https://partstown.sirv.com/products/GE/GEWE01X29357/GEWE01X29357-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE02X20422","2","Screw 8-18X7 16","13.95","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE03X20434","215","Idler Arm","77.95","90 in stock","https://partstown.sirv.com/products/GE/GEWE03X20434/GEWE03X20434-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE03X29897","213","Belt Drive","54.95","1880 in stock","https://partstown.sirv.com/products/GE/GEWE03X29897/GEWE03X29897.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE03X31620","216","Idler Pulley","36.95","213 in stock","https://partstown.sirv.com/products/GE/GEWE03X31620/GEWE03X31620-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE03X37319","317","Bearing Slide","18.95","298 in stock","https://partstown.sirv.com/products/GE/GEWE03X37319/gewe03x37319_R01_C01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE03X37320","316","Bearing Slide","28.95","297 in stock","https://partstown.sirv.com/products/GE/GEWE03X37320/gewe03x37320_R01_C01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE09X27634","","Felt Trap Duct","37.95","204 in stock","https://partstown.sirv.com/products/GE/GEWE09X27634/GEWE09X27634-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE09X27636","218","Blower Gasket (Exhaust)","15.95","3 in stock","id=12432774&mfgCode=HOT&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE10X20468","307","Outer Door Wh","59.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE10X20468/GEWE10X20468.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE11M10001","514","Mica Heater","146.95","78 in stock","https://partstown.sirv.com/products/GE/GEWE11M10001/2099052.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE11M10002","3264","Heater Housing","43.95","1 in stock","https://partstown.sirv.com/products/GE/GEWE11M10002/GEWE11M10002.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE11X20397","512","Mica Heater & Housing As","146.95","19 in stock","https://partstown.sirv.com/products/GE/GEWE11X20397/1633567.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE11X29438","504","Diffuser","48.95","19 in stock","https://partstown.sirv.com/products/GE/GEWE11X29438/GEWE11X29438-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE13M39","205","Motor Support","50.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE13M39/GEWE13M39.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE13X0200","203","Strap Motor","CALL","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE13X200","","Strap Motor","15.95","2 in stock","https://partstown.sirv.com/products/GE/GEWE13X200/2099130.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE13X20394","233","Motor Plate","19.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE13X20394/GEWE13X20394.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE14X20392","219","Blower Housing Asm","64.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE14X20392/GEWE14X20392.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE14X20421","228","Exhaust Duct","37.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE14X20421/GEWE14X20421.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE14X20426","509","Baffle","15.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE14X20426/GEWE14X20426.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE14X25080","311","Trap Duct","79.95","121 in stock","https://partstown.sirv.com/products/GE/GEWE14X25080/GEWE14X25080-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE16X20393","201","Blower Wheel","53.95","39 in stock","https://partstown.sirv.com/products/GE/GEWE16X20393/1633569.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE17X22217","3244","Dryer Drive Motor","165.95","21 in stock","https://partstown.sirv.com/products/GE/GEWE17X22217/1348917.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE18X25100","","Filter & Mesh Asm.","74.95","111 in stock","https://partstown.sirv.com/products/GE/GEWE18X25100/1633572.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE19M1481","72","Rear Panel","62.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE19M1481/GEWE19M1481.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE19M1713","13","Backsplash Graphics Asm","158.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE19M1713/GEWE19M1713.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1002","418","Fuse Ccmr 30 Amp 120V","50.95","8 in stock","https://partstown.sirv.com/products/GE/GEWE1M1002/1387983.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1003","417","Holder Fuse","44.95","1 in stock","https://partstown.sirv.com/products/GE/GEWE1M1003/GEWE1M1003-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1007","430","Cover Fuse Terminal","37.95","33 in stock","https://partstown.sirv.com/products/GE/GEWE1M1007/2099344.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1011","3234","Dryer Door Latch","20.95","53 in stock","https://partstown.sirv.com/products/GE/GEWE1M1011/1387671.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1015","515","Ground Strap Asm","18.95","11 in stock","https://partstown.sirv.com/products/GE/GEWE1M1015/2099350.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1030","271","Shield Bottom Cover","26.95","Out of stock","id=10079324&mfgCode=HOT&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M1033","","Hinge","15.95","3 in stock","https://partstown.sirv.com/products/GE/GEWE1M1033/GEWE1M1033-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M280","240","Screw","17.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE1M280/GEWE1M280-01-01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M300","3102","Bearing Retainer","46.95","31 in stock","https://partstown.sirv.com/products/GE/GEWE1M300/2099380.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M461","3127","O Ring","15.95","35 in stock","https://partstown.sirv.com/products/GE/GEWE1M461/1633568.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M462","3106","Sleeve Drum","35.95","175 in stock","https://partstown.sirv.com/products/GE/GEWE1M462/1173381.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M650","631","Connector Motor","21.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE1M650/1633571.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M652","7","Timer Knob Asm Wh","19.95","167 in stock","https://partstown.sirv.com/products/GE/GEWE1M652/spinset_gewe1m652_R01_C01.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M659","2232","Push/ Start Button Grey","16.95","30 in stock","https://partstown.sirv.com/products/GE/GEWE1M659/1387691.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M780","510","Protection Bracket","15.95","2 in stock","https://partstown.sirv.com/products/GE/GEWE1M780/GEWE1M780.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M825","325","Gasket (Seal) 39 Inch","15.95","54 in stock","https://partstown.sirv.com/products/GE/GEWE1M825/1633575.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1M934","112","Plug Button White","14.95","5 in stock","https://partstown.sirv.com/products/GE/GEWE1M934/GEWE1M934.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1X1192","","Strike Door","14.95","43 in stock","https://partstown.sirv.com/products/GE/GEWE1X1192/1173527.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE1X921","204","Motor Strap","48.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE1X921/GEWE1X921.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE20X20391","408","Chassis Base","72.95","Out of stock","id=10244437&mfgCode=HOT&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE20X20396","420","Rear Panel","75.95","Out of stock","mfgCode=HOT&type=b&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE20X20406","404","Side Panel White","50.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE20X20406/GEWE20X20406.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE20X20412","222","Bottom Cover","80.95","Out of stock","id=10244448&mfgCode=HOT&size=t"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE20X20417","401","Cover White","75.95","9 in stock","https://partstown.sirv.com/products/GE/GEWE20X20417/GEWE20X20417.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE21X20562","503","Drum Assembly 6.0 Cu.ft Wh","374.95","Out of stock","https://partstown.sirv.com/products/GE/GEWE21X20562/GEWE21X20562.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE2M160","403","Screw #8","13.95","1 in stock","https://partstown.sirv.com/products/GE/GEWE2M160/GEWE2M160.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE2M163","534","Screw #10","15.95","20 in stock","https://partstown.sirv.com/products/GE/GEWE2M163/GEWE2M163.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE2M173","75","Screw","16.95","3 in stock","https://partstown.sirv.com/products/GE/GEWE2M173/GEWE2M173.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE2M174","502","Screw # 10","17.95","16 in stock","https://partstown.sirv.com/products/GE/GEWE2M174/GEWE2M174.jpg?thumbnail=75"
"encompass.com","Encompass_BOM_HTDX100ED3WW.json","HTDX100ED3WW","WE2M189","223","Screw","13.95","Out of stock","mfgCode=HOT&type=b&size=t"
